vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
city,London (U.K.),geonames,http://sws.geonames.org/2643743,51.50853,-0.12574,
city,Long Lake,geonames,http://sws.geonames.org/6059292,50.87282,-95.38192,
city,Longlac,geonames,http://sws.geonames.org/11152651,49.78169,-86.5348,
city,Los Angeles,geonames,http://sws.geonames.org/5368361,34.05223,-118.24368,
city,Louisbourg,geonames,http://sws.geonames.org/6060789,45.91684,-59.96513,
city,Louisville,geonames,http://sws.geonames.org/4299276,38.25424,-85.75941,
city,Loyalist,geonames,http://sws.geonames.org/6061718,44.23342,-76.76612,
city,Lyleton,geonames,http://sws.geonames.org/6062256,49.05784,-101.17867,
city,Lyon,geonames,http://sws.geonames.org/2996944,45.74846,4.84671,
city,M'Chigeeng Indian Reserve 22,geonames,http://sws.geonames.org/6069818,45.81677,-82.16652,M'Chigeeng
city,Macdonald,geonames,http://sws.geonames.org/6062676,49.66671,-97.50067,
city,MacGregor,geonames,http://sws.geonames.org/6062964,49.96613,-98.77937,
city,Madoc,geonames,http://sws.geonames.org/6063990,44.58342,-77.49948,
city,Madrid,geonames,http://sws.geonames.org/3117735,40.4165,-3.70256,
city,Mahaica Village,geonames,http://sws.geonames.org/3377267,6.68405,-57.92181,
city,Malahide,geonames,http://sws.geonames.org/6064695,42.78339,-80.96642,
city,Mandalay,geonames,http://sws.geonames.org/1311874,21.97473,96.08359,
city,Manila,geonames,http://sws.geonames.org/1701668,14.6042,120.9822,
city,Maniwaki,geonames,http://sws.geonames.org/6065262,46.38341,-75.96605,
city,Manor,geonames,http://sws.geonames.org/6065395,49.60003,-102.08424,
city,Maple,geonames,http://sws.geonames.org/6065566,43.85011,-79.51631,
city,Markham,geonames,http://sws.geonames.org/6066513,43.86682,-79.2663,
city,Marmora and Lake,geonames,http://sws.geonames.org/6066656,44.63342,-77.71619,
city,Matsushima,geonames,http://sws.geonames.org/2111964,38.37357,141.06105,
city,Mattawa,geonames,http://sws.geonames.org/6067959,46.31681,-78.69957,
city,Mawlamyinegyun,geonames,http://sws.geonames.org/11154034,16.34545,95.26686,
city,Maxville,geonames,http://sws.geonames.org/6068242,45.28808,-74.85533,
city,McLennan,geonames,http://sws.geonames.org/11807304,55.70809,-116.9023,
city,Melancthon,geonames,http://sws.geonames.org/6071824,44.1501,-80.28298,
city,Meleb,geonames,http://sws.geonames.org/6071868,50.72861,-97.21737,
city,Melita,geonames,http://sws.geonames.org/6071900,49.26811,-100.99669,
city,Merritt,geonames,http://sws.geonames.org/12031981,50.11285,-120.77526,
city,Miami,geonames,http://sws.geonames.org/6072606,49.3711,-98.24466,
city,Middlechurch,geonames,http://sws.geonames.org/6072931,49.9797,-97.06784,
