vid,name,authority,field_authority_link
language,Kosraean,iso639-2b,http://id.loc.gov/vocabulary/languages/kos
language,Kpelle,iso639-2b,http://id.loc.gov/vocabulary/languages/kpe
language,Karachay-Balkar,iso639-2b,http://id.loc.gov/vocabulary/languages/krc
language,Karelian,iso639-2b,http://id.loc.gov/vocabulary/languages/krl
language,Kru (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/kro
language,Kurukh,iso639-2b,http://id.loc.gov/vocabulary/languages/kru
language,Kuanyama,iso639-2b,http://id.loc.gov/vocabulary/languages/kua
language,Kumyk,iso639-2b,http://id.loc.gov/vocabulary/languages/kum
language,Kurdish,iso639-2b,http://id.loc.gov/vocabulary/languages/kur
language,Kootenai,iso639-2b,http://id.loc.gov/vocabulary/languages/kut
language,Ladino,iso639-2b,http://id.loc.gov/vocabulary/languages/lad
language,Lahndā,iso639-2b,http://id.loc.gov/vocabulary/languages/lah
language,Lamba (Zambia and Congo),iso639-2b,http://id.loc.gov/vocabulary/languages/lam
language,Lao,iso639-2b,http://id.loc.gov/vocabulary/languages/lao
language,Latin,iso639-2b,http://id.loc.gov/vocabulary/languages/lat
language,Latvian,iso639-2b,http://id.loc.gov/vocabulary/languages/lav
language,Lezgian,iso639-2b,http://id.loc.gov/vocabulary/languages/lez
language,Limburgish,iso639-2b,http://id.loc.gov/vocabulary/languages/lim
language,Lingala,iso639-2b,http://id.loc.gov/vocabulary/languages/lin
language,Lithuanian,iso639-2b,http://id.loc.gov/vocabulary/languages/lit
language,Mongo-Nkundu,iso639-2b,http://id.loc.gov/vocabulary/languages/lol
language,Lozi,iso639-2b,http://id.loc.gov/vocabulary/languages/loz
language,Luxembourgish,iso639-2b,http://id.loc.gov/vocabulary/languages/ltz
language,Luba-Lulua,iso639-2b,http://id.loc.gov/vocabulary/languages/lua
language,Luba-Katanga,iso639-2b,http://id.loc.gov/vocabulary/languages/lub
language,Ganda,iso639-2b,http://id.loc.gov/vocabulary/languages/lug
language,Luiseño,iso639-2b,http://id.loc.gov/vocabulary/languages/lui
language,Lunda,iso639-2b,http://id.loc.gov/vocabulary/languages/lun
language,Luo (Kenya and Tanzania),iso639-2b,http://id.loc.gov/vocabulary/languages/luo
language,Lushai,iso639-2b,http://id.loc.gov/vocabulary/languages/lus
language,Macedonian,iso639-2b,http://id.loc.gov/vocabulary/languages/mac
language,Madurese,iso639-2b,http://id.loc.gov/vocabulary/languages/mad
language,Magahi,iso639-2b,http://id.loc.gov/vocabulary/languages/mag
language,Marshallese,iso639-2b,http://id.loc.gov/vocabulary/languages/mah
language,Maithili,iso639-2b,http://id.loc.gov/vocabulary/languages/mai
language,Makasar,iso639-2b,http://id.loc.gov/vocabulary/languages/mak
language,Malayalam,iso639-2b,http://id.loc.gov/vocabulary/languages/mal
